**************************** Variate BW in Complet graph 500 slices l=3  N=5
- bw -15
500,1.0074013757128661,193.755831991
499,1.005533697477664,214.98461853
500,1.0059275518109694,218.570329204
499,1.006759132729397,203.18737882
499,1.0067835538878445,204.158276236
499,1.0064507337875819,202.272691828
500,1.0059764355949001,203.514050306
499,1.0072662695483172,203.026070462
499,1.0056461918217507,203.614086572
499,1.0061351706283255,204.394613265
- bw -20
498,1.006126173308534,192.255163229
500,1.0051695261052314,191.073333723
499,1.00612417877547,193.381796767
498,1.006399781063685,192.834759282
499,1.0060781159527532,192.21742727
500,1.0059492982570963,192.470688533
499,1.0065214051288152,190.707530232
497,1.0059999280925285,193.03647079
498,1.006964247211782,191.595789743
498,1.0063020705688732,191.792035327
- bw -25
480,1.0068287483381198,186.362544875
486,1.006207808667617,186.216893863
484,1.006755933304766,186.785759934
491,1.0053743153509647,186.078617908
485,1.0057455644936173,188.255591236
481,1.0061073171129749,186.298081329
487,1.0055224729708154,185.916641742
489,1.0047060657239248,184.749394015
487,1.0036786884202773,187.712320892
488,1.0047499033375258,185.227758032
- bw -30
436,1.0062343931063549,183.142572854
428,1.0054386697139628,182.535911868
435,1.0056837030011194,182.389346051
429,1.0043935396202373,183.151741808
429,1.0061939611128694,181.447189517
434,1.004446488019825,182.901926762
425,1.0057192482897557,182.894070887
436,1.0041191881985776,183.676800128
434,1.0057038713752797,182.68314555
414,1.005000316239304,183.883351995
- bw -35
308,1.0058882304858194,182.616003711
316,1.0047991054985288,183.111679558
306,1.0065870011767692,181.804042957
313,1.0029140505680456,181.587503804
301,1.006200242461079,181.321216919
306,1.0055150587407953,180.812787448
298,1.0063980453881636,182.628464162
298,1.0037339942403858,182.311810381
314,1.005716482807837,182.213471125
321,1.0041697802437726,182.682981872
- bw -40
201,1.0051214122619387,179.324901845
188,1.005684046419257,182.304937473
185,1.0032367883395463,183.945016301
194,1.007542736389344,183.036079674
168,1.0073046034524944,180.982001253
189,1.0053063131910194,181.3177307
184,1.004222321438809,180.13548195
185,1.0085000835806164,182.391502019
195,1.0069008173782366,182.119447846
186,1.0042114552675323,183.54861803
***************** Variate CPU 
- cpu -15
487,1.0065689014322208,217.788143743
485,1.0059103380099854,217.898558455
486,1.0051036704055247,218.79756136
487,1.006371415296862,219.413415258
490,1.007540838822866,220.986865531
491,1.0066708277070051,219.790927403
489,1.0076299425948483,220.041629742
492,1.0062522065913337,219.135344478
488,1.006599433559524,218.960799705
489,1.0063309421289655,219.943902019
- cpu -20
482,1.0080437868374568,212.542571992
479,1.0067100490861038,212.640330428
476,1.0050094082173258,212.823986212
479,1.0068783690562497,213.14633552
476,1.0056195017764948,214.022899618
479,1.0059032714266292,213.017207304
478,1.00647249923596,213.198241294
478,1.0067973993343178,212.860322274
479,1.0072679240822613,212.452149457
478,1.0064432532998848,213.985919199
- cpu -25
459,1.0070614582351476,207.262812166
461,1.0071270042205396,205.656954865
463,1.0060657338007992,205.723216595
460,1.0064723135654887,206.019251974
464,1.0044038188321627,207.23715275
463,1.0067853990956006,207.092425154
466,1.0061655064027686,206.65693034
465,1.0042201137912559,208.069737243
461,1.0070098008332533,204.080872637
461,1.0050974984836294,206.17287718
- cpu -30
414,1.0057834790881277,186.740974231
414,1.0060370495492927,186.829679768
416,1.0062491062977807,185.66668692
415,1.0048150687611566,187.119262307
414,1.005276143827324,184.234545823
413,1.0075710014559451,186.777694867
415,1.0053608428240366,188.04863821
413,1.007581964638441,187.697143503
415,1.0049674162344133,185.960959777
415,1.005817577749236,185.433326899
- cpu -35
381,1.0052230524000585,176.532720085
383,1.005557327027217,175.949109441
387,1.0045489491938704,176.903310925
385,1.0054299230771988,175.953562717
387,1.0055508388007504,175.65068181
381,1.0064465053975864,174.60028888
382,1.0072675119796817,175.397868532
388,1.0061686777885446,175.422084045
380,1.0045190696769923,174.289573011
393,1.0069051978799737,175.903555931
- cpu -40
311,1.0057825676933791,152.994134574
307,1.0042473888365198,153.209238602
307,1.006635698512403,155.398477235
300,1.004207582097746,150.36630844
308,1.003687878063374,154.23816858
305,1.0045386595510406,151.863082361
313,1.0049320171522091,154.146291371
313,1.0052346062409419,154.352284101
308,1.004634705192905,153.342793321
315,1.0067642577168017,153.175813854
***************** Variate CPU
- ressources -15
489,1.0054684195878878,189.259621082
491,1.0050610299200433,188.68604696
491,1.0068626187451004,187.912216608
491,1.005055746045009,188.399639223
491,1.0076073129758971,189.746348415
491,1.0061501610811534,189.285340579
491,1.0066144346540205,188.483958432
491,1.0068634435691222,190.275244796
492,1.0062263178362274,189.155788858
491,1.0069525272373296,181.75578429
- ressources -20
468,1.00386180031594,153.260480147
472,1.0059883244713523,151.752636014
469,1.007320793061654,151.866799069
469,1.0067186087758422,151.571794577
471,1.0065627171513143,151.544455866
469,1.0056621823016514,153.852384409
469,1.005885154310222,152.624991249
472,1.006283532829935,152.532774743
471,1.006809094695655,150.53230057
472,1.0050398952591122,151.064369406
- ressources -25
442,1.0062071128474879,137.670764251
444,1.0048814341453252,138.730382643
453,1.0047343767809291,139.254468011
450,1.004414719179215,138.991021049
449,1.0049784880597734,137.12516649
440,1.004243697905223,139.919018846
445,1.0049003161568217,138.691486563
453,1.005901119897559,138.712703749
453,1.0060444766656325,140.275757314
453,1.0060241863267236,140.647043682
- ressources -30
377,1.002766268145911,125.371201596
384,1.0053518065209346,126.117310254
383,1.001499332313947,125.939345912
378,1.003331693058855,124.922328291
381,1.0055474042883197,126.162538015
387,1.0044033265140335,125.609474724
383,1.0065737641189476,128.383683577
390,1.003308290031184,129.912309214
373,1.0040015384340084,125.714885138
383,1.0032711108402836,129.890212361
- ressources -35
293,1.0034430196714785,127.035078655
298,1.0036524295088962,121.683409501
296,1.0041683853365067,120.066441905
310,1.002980362074689,120.594644593
301,1.0028307292999563,120.280825161
286,1.001874639132547,120.586339454
301,1.0026633755012813,120.716213503
305,1.0057911986570913,117.651829815
315,1.0022778330472515,119.487536576
314,1.0028344517844163,120.609627964
- ressources -40
167,1.0026948029779084,117.060241844
162,1.0036956612299426,118.026758907
161,1.0042303579745462,116.639919873
171,1.0030828691978892,117.03118742
166,1.0031628489990294,116.13315945
171,1.0020763156525427,115.469225377
159,1.005131790601743,121.165611928
151,1.003820289839871,121.966215475
165,1.0050156776918469,110.595069
168,1.0027981348104549,109.2420639
